timeSeries,Azimuth (rad),Range (km),Speed (km/s),Heading (rad),x-axis,y-axis
320,3.548010536179586,167.9316585,0.12,1.049055647,-154.25241599785775,-66.38700238287957
330,3.5437034031795864,166.97258609999997,0.12,1.049055647,-153.65434807871682,-65.3466588696502
340,3.5393465871795864,166.01664689999998,0.12,1.049055647,-153.05628001828097,-64.3063153577068
350,3.534939390179586,165.0638956,0.12,1.049055647,-152.45821216309722,-63.265971696321394
360,3.5304811101795863,164.11438750000002,0.12,1.049055647,-151.8601441382075,-62.22562821557534
370,3.5259710321795863,163.1681793,0.12,1.049055647,-151.2620761426814,-61.18528464494223
380,3.5214084351795862,162.2253288,0.12,1.049055647,-150.66400821318905,-60.1449410458121
390,3.5167925911795863,161.28589480000002,0.12,1.049055647,-150.065940187083,-59.10459759784771
400,3.512122761179586,160.3499374,0.12,1.049055647,-149.46787220517643,-58.06425408666644
410,3.5073981991795864,159.4175178,0.12,1.049055647,-148.86980426937816,-57.02391040879564
420,3.5026181541795864,158.4886985,0.12,1.049055647,-148.27173630926396,-55.98356691083552
430,3.4977818641795864,157.5635431,0.12,1.049055647,-147.67366832760484,-54.943223393737256
440,3.492888561179586,156.64211650000001,0.12,1.049055647,-147.07560028877506,-53.902879897979865
450,3.4879374681795863,155.724485,0.12,1.049055647,-146.4775323689195,-52.86253625799054
460,3.482927804179586,154.81071599999999,0.12,1.049055647,-145.87946439652197,-51.822192695953426
470,3.477858779179586,153.90087830000002,0.12,1.049055647,-145.2813963949117,-50.78184914963178
480,3.4727295971795864,152.99504209999998,0.12,1.049055647,-144.6833284144477,-49.74150566778049
490,3.4675394551795864,152.0932788,0.12,1.049055647,-144.08526038817377,-48.701162152526656
500,3.4675394551795864,152.0932788,0.12,1.049055647,-144.08526038817377,-48.701162152526656
510,3.4623395001795862,151.1887366,0.12,1.031602355,-143.47814435676577,-47.666090322610515
520,3.4571822281795863,150.2745839,0.12,1.014149062,-142.85305624070648,-46.64177193254659
530,3.452068878179586,149.3509252,0.12,0.996695769,-142.21018646555964,-45.62851875227542
540,3.4470007311795863,148.41786720000002,0.12,0.979242477,-141.5497309902525,-44.62663958650699
550,3.441979108179586,147.47551819999998,0.12,0.961789184,-140.87189080668244,-43.636439461861016
560,3.437005374179586,146.523989,0.12,0.944335892,-140.17687259009924,-42.65822011443054
570,3.432080939179586,145.5633921,0.12,0.926882599,-139.46488786599386,-41.69227952731894
580,3.4272072591795864,144.5938424,0.12,0.909429307,-138.73615360336285,-40.73891190667897
590,3.422385839179586,143.6154569,0.12,0.891976014,-137.9908917671379,-39.79840763027823
600,3.417618236179586,142.6283549,0.12,0.874522722,-137.22932935372046,-38.871053325173406
610,3.4129060571795864,141.632658,0.12,0.857069429,-136.45169842886685,-37.957131187993376
620,3.408250968179586,140.6284902,0.12,0.839616137,-135.65823583016552,-37.0569198312365
630,3.4036546911795864,139.6159778,0.12,0.822162844,-134.8491831459578,-36.17069341218137
640,3.399119009179586,138.59524979999998,0.12,0.804709552,-134.02478686406872,-35.29872197637399
650,3.394645766179586,137.56643780000002,0.12,0.787256259,-133.18529822291424,-34.44127097327667
660,3.3902368741795863,136.5296759,0.12,0.769802967,-132.33097281134278,-33.59860169951578
670,3.385894311179586,135.4851011,0.12,0.752349674,-131.46207096741574,-32.770970645303855
680,3.381620131179586,134.4328532,0.12,0.734896382,-130.5788572840296,-31.958630288073756
690,3.3774164571795864,133.3730748,0.12,0.717443089,-129.68160077240879,-31.16182765358895
700,3.3732854961795864,132.3059118,0.12,0.699989797,-128.77057479260026,-30.380805861805573
710,3.3692295311795863,131.2315131,0.12,0.682536504,-127.84605694076399,-29.615802457715066
720,3.3652509351795863,130.1500308,0.12,0.665083212,-126.90832873112427,-28.867050696492107
730,3.3613521681795864,129.0616204,0.12,0.647629919,-125.95767580081319,-28.134778604619168
740,3.3575357831795865,127.9664409,0.12,0.630176627,-124.99438773715478,-27.419209157577818
750,3.353804432179586,126.864655,0.12,0.612723334,-124.01875800806239,-26.720560443349342
760,3.3501608681795862,125.756429,0.12,0.595270042,-123.03108370705723,-26.03904523401568
770,3.3466079511795863,124.6419333,0.12,0.577816749,-122.03166576902113,-25.374871160255495
780,3.343148651179586,123.5213423,0.12,0.560363456,-121.02080867487979,-24.728240359392966
790,3.339786058179586,122.3948346,0.12,0.542910164,-119.99882026854151,-24.099350010314147
800,3.3365233821795863,121.2625932,0.12,0.525456871,-118.96601182183885,-23.48839161787763
810,3.3333639611795864,120.1248058,0.12,0.508003579,-117.92269798871244,-22.895551261121245
820,3.330311267179586,118.9816648,0.12,0.490550286,-116.86919651205642,-22.321009502392567
830,3.3273689121795864,117.8333679,0.12,0.473096994,-115.80582851274104,-21.764941376772924
840,3.324540656179586,116.6801175,0.12,0.455643701,-114.73291754903963,-21.22751635258065
850,3.321830409179586,115.52212209999999,0.12,0.438190409,-113.65079076159779,-20.708897936655763
860,3.319242246179586,114.3595956,0.12,0.420737116,-112.55977766811316,-20.209244347586964
870,3.316780407179586,113.19275780000001,0.12,0.403283824,-111.46021044640138,-19.728707651880825
880,3.314449308179586,112.0218352,0.12,0.385830531,-110.35242426878926,-19.267434172122876
890,3.312253551179586,110.84706059999999,0.12,0.368377239,-109.236756471274,-18.82556451466059
900,3.310197929179586,109.66867380000001,0.12,0.350923946,-108.11354688895561,-18.40323319801179
910,3.3082874381795864,108.486922,0.12,0.333470654,-106.98313774707223,-18.00056895837058
920,3.306527284179586,107.30205980000001,0.12,0.316017361,-105.84587323763078,-17.617694397570144
930,3.3049228941795863,106.1143501,0.12,0.298564069,-104.70209989204471,-17.25472617405619
940,3.303479925179586,104.92406410000001,0.12,0.281110776,-103.55216608472296,-16.911774786309742
950,3.3022042761795865,103.7314819,0.12,0.263657484,-102.39642205629865,-16.588944729499417
960,3.3011020981795864,102.53689299999999,0.12,0.246204191,-101.23521985214488,-16.28633438135596
970,3.300179805179586,101.34059690000001,0.12,0.228750899,-100.06891331830188,-16.004035970419345
980,3.2994440841795862,100.1429032,0.12,0.211297606,-98.8978575933835,-15.74213533048834
