timeSeries,Azimuth (rad),Range (m)
2610,1.2306069,110789.2646
2620,1.224611282,111445.7108
2630,1.19827022,112113.6238
2640,1.182152915,112762.6531
2650,1.18430718,113438.3131
2660,1.190503746,113992.3267
2670,1.16213549,114805.0717
2680,1.152668029,115311.1143
2690,1.144616193,116051.1696
2700,1.150642288,116633.5422
2710,1.137727756,117524.9635
2720,1.133006624,118201.4613
2730,1.128331544,118982.586
2740,1.103215435,119609.3831
2750,1.099983033,120357.1346
2760,1.111965824,120869.2501
2770,1.103426508,121591.5168
2780,1.072172437,122526.6368
2790,1.075105088,123292.0046
2800,1.074561114,124042.8058
2810,1.079993069,124927.6659
2820,1.05767097,125642.2039
2830,1.034379595,126428.0668
2840,1.036362073,127056.5542
2850,1.023693127,128081.2539
2860,1.029450522,128897.327
2870,1.032411079,129410.7488
2880,1.015545221,130406.4192
2890,1.006536364,131330.8635
2900,1.004060736,132182.2365
2910,0.9793376,132857.8843
2920,0.992479037,133685.9454
2930,0.962989679,134600.0984
2940,0.9607955,135262.5828
2950,0.960727166,136172.5879
2960,0.972636099,137132.8158
2970,0.96687235,137928.4338
2980,0.926623951,139177.6327
2990,0.948010873,139834.8433
3000,0.947268493,139684.7977
3010,0.940606948,140651.7652
3020,0.932024064,141309.6723
3030,0.917530436,142053.9429
3040,0.907465234,142763.0144
3050,0.913450249,143212.7753
3060,0.90486864,143608.3645
3070,0.90064837,143812.8845
3080,0.884328734,144170.7929
3090,0.880017328,144547.2001
3100,0.88119679,144636.1561
3110,0.852423237,144424.3682
3120,0.84936641,144317.0206
3130,0.848562022,144232.2222
3140,0.848057327,143828.0041
3150,0.831636567,143659.5319
3160,0.810062548,142977.5315
3170,0.820427051,142504.8525
3180,0.805066615,141925.3503
3190,0.791362268,141105.787
3200,0.778645829,140260.1555
3210,0.770022542,139264.9539
3220,0.794276272,138379.5291
3230,0.765794873,137534.9776
3240,0.770869299,136483.5382
3250,0.758812629,135326.3331
3260,0.754452991,134373.6922
3270,0.756284463,132881.0502
3280,0.754175049,131619.4626
3290,0.759992568,130734.6614
3300,0.757726162,129413.1758
3310,0.760513129,128441.3687
3320,0.775044768,127133.3534
3330,0.756433303,125782.9973
3340,0.765358079,124766.3708
3350,0.774912455,123755.2483
3360,0.789337734,122777.2451
3370,0.781937902,121788.2063
3380,0.780838521,120798.7072
3390,0.796676305,119961.1432
3400,0.810635197,119417.097
3410,0.798153245,118791.3369
3420,0.828520169,118181.7126
3430,0.832586666,117716.1746
3440,0.850140404,117380.8436
3450,0.854033411,117085.9303
3460,0.867691168,116962.0754
3470,0.881817376,117130.8654
3480,0.883595271,117282.414
3490,0.89539082,117580.8681
3500,0.896925127,117506.4545
3510,0.895572586,117872.9125
3520,0.928241291,117937.6301
3530,0.919134771,118530.2547
3540,0.93008495,118897.285
3550,0.954192394,119268.2983
3560,0.949150912,119609.8011
3570,0.960314842,120323.1461
3580,0.963948597,120317.431
3590,0.997487601,120635.7483
3600,0.966243533,121224.8188
3610,0.987410184,121688.9722
3620,1.004459947,122010.0883
3630,1.018636564,122577.2555
3640,1.027847241,122868.8536
3650,1.031022182,123375.7477
3660,1.032269862,123852.9745
3670,1.057233916,124365.4313
3680,1.048868775,124787.7377
3690,1.07650793,125268.5334
3700,1.076916419,125922.5376
3710,1.074074574,126381.6151
3720,1.105790697,126959.9709
3730,1.106041147,127618.9605
3740,1.107774466,128243.7532
3750,1.133048811,128543.9048
3760,1.129098078,129267.2444
3770,1.150941028,129687.0361
3780,1.138488403,130328.1133
3790,1.154364947,130989.6807
3800,1.169717566,131473.9411
3810,1.181293174,132245.6832
3820,1.177378056,132800.385
3830,1.193712375,133410.9987
