timeSeries,Azimuth (rad),Range (m),Speed (m/s),Heading (rad)
2570,1.26607215,108493.4564,120,0.193844314
2580,1.256409409,109072.3508,120,0.193844314
2590,1.246849576,109661.3212,120,0.193844314
2600,1.237392736,110260.2059,120,0.193844314
2610,1.228038898,110868.8443,120,0.193844314
2620,1.218787998,111487.0767,120,0.193844314
2630,1.209639904,112114.7444,120,0.193844314
2640,1.200594417,112751.6898,120,0.193844314
2650,1.191651275,113397.7566,120,0.193844314
2660,1.182810159,114052.7897,120,0.193844314
2670,1.17407069,114716.6356,120,0.193844314
2680,1.165432437,115389.1421,120,0.193844314
2690,1.15689492,116070.1588,120,0.193844314
2700,1.148457609,116759.5367,120,0.193844314
2710,1.140119931,117457.1285,120,0.193844314
2720,1.13188127,118162.7889,120,0.193844314
2730,1.123740971,118876.3741,120,0.193844314
2740,1.115698343,119597.7423,120,0.193844314
2750,1.107752661,120326.7535,120,0.193844314
2760,1.099903166,121063.2696,120,0.193844314
2770,1.092149073,121807.1545,120,0.193844314
2780,1.084489569,122558.274,120,0.193844314
2790,1.076923816,123316.4959,120,0.193844314
2800,1.069450954,124081.6901,120,0.193844314
2810,1.062070101,124853.7282,120,0.193844314
2820,1.054780358,125632.4842,120,0.193844314
2830,1.047580809,126417.8339,120,0.193844314
2840,1.040470523,127209.6552,120,0.193844314
2850,1.033448555,128007.8279,120,0.193844314
2860,1.026513951,128812.2341,120,0.193844314
2870,1.019665744,129622.7576,120,0.193844314
2880,1.012902961,130439.2845,120,0.193844314
2890,1.00622462,131261.7026,120,0.193844314
2900,0.999629733,132089.902,120,0.193844314
2910,0.99311731,132923.7746,120,0.193844314
2920,0.986686355,133763.2143,120,0.193844314
2930,0.980335871,134608.1169,120,0.193844314
2940,0.97406486,135458.3803,120,0.193844314
2950,0.967872324,136313.904,120,0.193844314
2960,0.961757264,137174.5897,120,0.193844314
2970,0.955718685,138040.3409,120,0.193844314
2980,0.949755592,138911.0627,120,0.193844314
2990,0.943866996,139786.6624,120,0.193844314
3000,0.943866996,139786.6624,120,0.193844314
3010,0.937785527,140630.4883,120,0.106577851
3020,0.931274726,141402.584,120,0.019311388
3030,0.924380296,142098.2875,120,-0.067955074
3040,0.917148258,142713.4569,120,-0.155221537
3050,0.909624824,143244.4756,120,-0.242487999
3060,0.901856312,143688.255,120,-0.329754462
3070,0.893889082,144042.2377,120,-0.417020925
3080,0.885769503,144304.3986,120,-0.504287387
3090,0.877543931,144473.2465,120,-0.59155385
3100,0.869258707,144547.8249,120,-0.678820312
3110,0.860960155,144527.712,120,-0.766086775
3120,0.852694601,144413.0217,120,-0.853353238
3130,0.844508375,144204.4026,120,-0.9406197
3140,0.836447824,143903.0385,120,-1.027886163
3150,0.82855931,143510.6474,120,-1.115152625
3160,0.820889203,143029.4805,120,-1.202419088
3170,0.81348385,142462.3211,120,-1.289685551
3180,0.806389533,141812.4823,120,-1.376952013
3190,0.799652396,141083.8043,120,-1.464218476
3200,0.793318342,140280.6505,120,-1.551484938
3210,0.787432894,139407.902,120,-1.638751401
3220,0.782041017,138470.9511,120,-1.726017864
3230,0.777186887,137475.692,120,-1.813284326
3240,0.772913608,136428.5088,120,-1.900550789
3250,0.769262871,135336.2614,120,-1.987817251
3260,0.766274543,134206.2662,120,-2.075083714
3270,0.763986189,133046.273,120,-2.162350177
3280,0.762432523,131864.4367,120,-2.249616639
3290,0.761644787,130669.2822,120,-2.336883102
3300,0.761650054,129469.6631,120,-2.424149564
3310,0.762470476,128274.7121,120,-2.511416027
3320,0.764122474,127093.7828,120,-2.59868249
3330,0.766615899,125936.3822,120,-2.685948952
3340,0.76995318,124812.094,120,-2.773215415
3350,0.774128493,123730.4914,120,-2.860481877
3360,0.779126988,122701.0405,120,-2.94774834
3370,0.784924119,121732.9951,120,-3.035014803
3380,0.791485116,120835.2828,120,-3.122281265
3390,0.798764664,120016.3865,120,3.073637579
3400,0.806706818,119284.2217,120,2.986371117
3410,0.815245211,118646.0136,120,2.899104654
3420,0.824303574,118108.178,120,2.811838192
3430,0.833796591,117676.2087,120,2.724571729
3440,0.843631086,117354.5776,120,2.637305266
3450,0.853707514,117146.649,120,2.550038804
3460,0.86392171,117054.614,120,2.462772341
3470,0.874166845,117079.4465,120,2.375505879
3480,0.884335483,117220.8834,120,2.288239416
3490,0.894321679,117477.4302,120,2.200972953
3500,0.894321679,117477.4302,120,2.200972953
3510,0.904155576,117796.4268,120,2.200972953
3520,0.913935416,118126.7528,120,2.200972953
3530,0.923659789,118468.3135,120,2.200972953
3540,0.933327341,118821.0119,120,2.200972953
3550,0.942936778,119184.7491,120,2.200972953
3560,0.952486865,119559.4245,120,2.200972953
3570,0.961976424,119944.9355,120,2.200972953
3580,0.971404335,120341.178,120,2.200972953
3590,0.980769538,120748.0463,120,2.200972953
3600,0.99007103,121165.4334,120,2.200972953
3610,0.999307866,121593.231,120,2.200972953
3620,1.008479159,122031.3295,120,2.200972953
3630,1.017584078,122479.6185,120,2.200972953
3640,1.026621846,122937.9865,120,2.200972953
3650,1.035591745,123406.3211,120,2.200972953
3660,1.044493109,123884.5093,120,2.200972953
3670,1.053325325,124372.4375,120,2.200972953
3680,1.062087836,124869.9915,120,2.200972953
3690,1.070780132,125377.0567,120,2.200972953
3700,1.079401758,125893.5181,120,2.200972953
3710,1.087952305,126419.2607,120,2.200972953
3720,1.096431414,126954.169,120,2.200972953
3730,1.104838772,127498.1278,120,2.200972953
3740,1.113174113,128051.0217,120,2.200972953
3750,1.121437216,128612.7355,120,2.200972953
3760,1.129627901,129183.1541,120,2.200972953
3770,1.137746031,129762.1627,120,2.200972953
3780,1.145791511,130349.6468,120,2.200972953
3790,1.153764284,130945.4924,120,2.200972953
3800,1.161664332,131549.5859,120,2.200972953
3810,1.169491671,132161.8141,120,2.200972953
3820,1.177246356,132782.0646,120,2.200972953
3830,1.184928474,133410.2254,120,2.200972953
3840,1.192538144,134046.1854,120,2.200972953
3850,1.200075518,134689.834,120,2.200972953
3860,1.207540777,135341.0616,120,2.200972953
3870,1.21493413,135999.7592,120,2.200972953
3880,1.222255815,136665.819,120,2.200972953
3890,1.229506096,137339.1337,120,2.200972953
3900,1.23668526,138019.5972,120,2.200972953
3910,1.24379362,138707.1042,120,2.200972953
3920,1.25083151,139401.5507,120,2.200972953
3930,1.257799287,140102.8333,120,2.200972953
3940,1.264697325,140810.85,120,2.200972953
3950,1.271526021,141525.4996,120,2.200972953
3960,1.278285788,142246.6822,120,2.200972953
3970,1.284977054,142974.2989,120,2.200972953
3980,1.291600267,143708.2521,120,2.200972953
3990,1.298155887,144448.4451,120,2.200972953
4000,1.298155887,144448.4451,120,2.200972953
4010,1.3045761,145206.965,120,2.174793015
4020,1.310789574,145995.2954,120,2.148613076
4030,1.31679193,146812.42,120,2.122433137
4040,1.32257936,147657.3057,120,2.096253198
4050,1.328148607,148528.9046,120,2.070073259
4060,1.333496947,149426.1574,120,2.043893321
4070,1.338622174,150347.9954,120,2.017713382
4080,1.343522574,151293.3433,120,1.991533443
4090,1.348196905,152261.1215,120,1.965353504
4100,1.352644374,153250.248,120,1.939173566
4110,1.356864613,154259.6411,120,1.912993627
4120,1.360857653,155288.2204,120,1.886813688
4130,1.364623904,156334.9095,120,1.860633749
4140,1.368164124,157398.6368,120,1.83445381
4150,1.3714794,158478.3378,120,1.808273872
4160,1.37457112,159572.9558,120,1.782093933
4170,1.377440954,160681.4434,120,1.755913994
4180,1.380090827,161802.7638,120,1.729734055
4190,1.382522899,162935.8916,120,1.703554117
4200,1.384739544,164079.8135,120,1.677374178
4210,1.386743329,165233.5297,120,1.651194239
4220,1.388536992,166396.054,120,1.6250143
4230,1.390123428,167566.4146,120,1.598834361
4240,1.391505668,168743.6548,120,1.572654423
4250,1.392686864,169926.8331,120,1.546474484
4260,1.393670272,171115.024,120,1.520294545
4270,1.394459239,172307.3179,120,1.494114606
4280,1.395057188,173502.8214,120,1.467934668
4290,1.395467606,174700.6578,120,1.441754729
4300,1.395694031,175899.9669,120,1.41557479
4310,1.395740042,177099.9052,120,1.389394851
4320,1.395609251,178299.6458,120,1.363214912
4330,1.395305288,179498.3788,120,1.337034974
4340,1.394831799,180695.3108,120,1.310855035
4350,1.394192434,181889.6651,120,1.284675096
4360,1.393390841,183080.6817,120,1.258495157
4370,1.39243066,184267.6168,120,1.232315219
4380,1.391315517,185449.7433,120,1.20613528
4390,1.390049019,186626.3499,120,1.179955341
4400,1.388634751,187796.7416,120,1.153775402
4410,1.387076267,188960.2391,120,1.127595463
4420,1.385377091,190116.1789,120,1.101415525
4430,1.383540714,191263.9131,120,1.075235586
4440,1.381570586,192402.8087,120,1.049055647
4450,1.379470121,193532.2483,120,1.022875708
4460,1.377242689,194651.6289,120,0.996695769
4470,1.374891616,195760.3626,120,0.970515831
4480,1.372420184,196857.8757,120,0.944335892
